log_date,active_tname,fans_label,uu,uu_non,uu_asc,uu_des,uu_month_ratio,uu_non_month_ratio,uu_asc_month_ratio,uu_des_month_ratio
20190331,知识,2,15009,13595,1148,25,1.056971831,0.957394366,0.08084507,0.001760563
20190331,知识,3,6045,5515,478,3,1.057557733,0.964835549,0.083624913,0.000524843
20190331,知识,4,1229,1133,90,0,1.055841924,0.973367698,0.077319588,
20190331,知识,5,171,155,16,0,1.103225806,1,0.103225806,
20190331,纪录片,1,12428,11412,0,9,1.065957629,0.97881465,,0.000771936
20190331,纪录片,2,1235,1152,76,1,1.018136851,0.949711459,0.062654575,0.000824402
20190331,纪录片,3,422,400,19,0,0.985981308,0.934579439,0.044392523,
20190331,纪录片,4,103,100,3,0,0.990384615,0.961538462,0.028846154,
20190331,纪录片,5,19,18,1,0,0.95,0.9,0.05,
20190331,舞蹈,1,42722,41071,0,36,1.026107842,0.986453705,,0.000864657
20190331,舞蹈,2,8231,7955,234,12,1.016298308,0.982220027,0.028892456,0.001481664
20190331,舞蹈,3,2804,2696,94,2,1.022984312,0.983582634,0.034294053,0.000729661
20190331,舞蹈,4,617,598,19,0,1.014802632,0.983552632,0.03125,
20190331,舞蹈,5,109,104,5,0,1.048076923,1,0.048076923,
20190331,音乐,0,1,1,0,0,1,1,,
20190331,音乐,1,234147,220947,0,202,1.050222023,0.991015923,,0.000906033
20190331,音乐,2,27034,25541,1210,77,1.039769231,0.982346154,0.046538462,0.002961538
20190331,音乐,3,7849,7407,366,6,1.031677182,0.973580442,0.048107256,0.000788644
20190331,音乐,4,1422,1349,68,0,1.037956204,0.984671533,0.049635036,
20190331,音乐,5,211,201,10,0,1.055,1.005,0.05,
20190331,鬼畜,1,12097,11807,0,20,1.013743401,0.989441046,,0.001676024
20190331,鬼畜,2,3232,3090,112,13,1.009684474,0.965323336,0.034989066,0.004061231
20190331,鬼畜,3,1266,1179,84,1,1.050622407,0.978423237,0.069709544,0.000829876
20190331,鬼畜,4,362,349,13,0,1.025495751,0.988668555,0.036827195,
20190331,鬼畜,5,68,68,0,0,0.985507246,0.985507246,,
20190430,动画,0,4,4,0,0,1,1,,
20190430,动画,1,169427,162342,0,70,1.027770869,0.984792143,,0.000424631
20190430,动画,2,25386,23967,1189,12,1.033463605,0.975696141,0.048404169,0.00048852
20190430,动画,3,8595,8144,395,2,1.036916395,0.982506937,0.047653517,0.000241284
20190430,动画,4,1529,1434,91,0,1.045112782,0.980177717,0.062200957,
20190430,动画,5,167,158,9,0,1.050314465,0.993710692,0.056603774,
20190430,国创,1,13276,12668,0,8,1.089446906,1.039553586,,0.000656491
20190430,国创,2,2651,2543,88,2,1.098632408,1.053874845,0.036469126,0.000828844
20190430,国创,3,982,944,35,0,1.127439724,1.083811711,0.040183697,
20190430,国创,4,212,209,2,0,1.098445596,1.082901554,0.010362694,
20190430,国创,5,47,42,5,0,1.236842105,1.105263158,0.131578947,
20190430,娱乐,1,207309,195983,0,107,1.048026126,0.990768873,,0.000540926
20190430,娱乐,2,38057,36115,1639,19,1.037852137,0.984891871,0.044697156,0.000518149
20190430,娱乐,3,11399,10912,445,3,1.036838275,0.992541386,0.040476624,0.000272876
20190430,娱乐,4,1313,1257,51,0,1.038765823,0.994462025,0.040348101,
20190430,娱乐,5,77,70,6,0,1.084507042,0.985915493,0.084507042,
20190430,广告,1,13084,12452,0,2,1.036767036,0.986687797,,0.000158479
20190430,广告,2,463,427,32,0,1.059496568,0.977116705,0.073226545,
20190430,广告,3,100,96,3,0,1.041666667,1,0.03125,
20190430,广告,4,14,14,0,0,0.933333333,0.933333333,,
20190430,广告,5,1,1,0,0,1,1,,
20190430,影视,1,235319,221599,0,68,1.052410555,0.991050984,,0.000304114
20190430,影视,2,26789,24957,1555,13,1.051621261,0.979704797,0.061042632,0.000510324
20190430,影视,3,8123,7676,392,2,1.045296616,0.987775061,0.050443958,0.000257367
20190430,影视,4,1409,1337,72,0,1.042931162,0.989637306,0.053293856,
20190430,影视,5,173,166,7,0,1.042168675,1,0.042168675,
20190430,数码,1,27254,25049,0,8,1.077787005,0.990588049,,0.000316368
20190430,数码,2,3475,3163,257,3,1.067260442,0.971437346,0.078931204,0.000921376
20190430,数码,3,1340,1236,90,0,1.071143086,0.988009592,0.071942446,
